,0,1,2,3,4,5
0,19-Feb-2009,19-Feb-2009, Canada,Ottawa,Met with Governor General Michaëlle Jean and Prime Minister Stephen Harper.[6],President Barack Obama
1,31-Mar-2009,3-Apr-2009, United Kingdom,London,Attended the G20 Economic Summit. Met with Queen Elizabeth II and Prime Minister Gordon Brown.,President Barack Obama
2,3-Apr-2009,4-Apr-2009, France Germany,"Strasbourg, Baden-Baden and Kehl",Attended the 21st NATO Summit.,President Barack Obama
3,4-Apr-2009,5-Apr-2009, Czech Republic,Prague,Attended a European Union-United States summit. Delivered public speech on nuclear disarmament.[7] Met with Czech President Václav Klaus.,President Barack Obama
4,5-Apr-2009,7-Apr-2009, Turkey,Ankara and Istanbul,Met with President Abdullah Gül and Prime Minister Recep Tayyip Erdoğan. Delivered a speech to the Turkish Parliament.,President Barack Obama
5,7-Apr-2009,8-Apr-2009, Iraq,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Visited with U.S. troops.[8],President Barack Obama
6,16-Apr-2009,17-Apr-2009, Mexico,Mexico City,Met with President Felipe Calderón.,President Barack Obama
7,17-Apr-2009,18-Apr-2009, Trinidad and Tobago,Port of Spain,Attended the 5th Summit of the Americas.,President Barack Obama
8,3-Jun-2009,4-Jun-2009, Saudi Arabia,Riyadh,Met with King Abdullah.,President Barack Obama
9,4-Jun-2009,4-Jun-2009, Egypt,Cairo and Giza,Met with President Hosni Mubarak. Toured the Giza Pyramids. Delivered a speech directed towards the wider Muslim world at Cairo University.,President Barack Obama
10,4-Jun-2009,5-Jun-2009, Germany,"Dresden, Buchenwald, and Landstuhl",Met with Chancellor Angela Merkel. Visited Buchenwald concentration camp and an U.S. military hospital.,President Barack Obama
11,5-Jun-2009,7-Jun-2009, France,Paris and Caen,Met with President Nicolas Sarkozy. Attended 65th anniversary of D-Day celebrations.,President Barack Obama
12,6-Jul-2009,8-Jul-2009, Russia,Moscow,Met with President Dmitry Medvedev and Prime Minister Vladimir Putin. Delivered a commencement speech to the New Economic School.,President Barack Obama
13,8-Jul-2009,10-Jul-2009, Italy,L'Aquila and Rome,Attended the 35th G8 summit. Met with President Giorgio Napolitano.[9] and Prime Minister Silvio Berlusconi,President Barack Obama
14,10-Jul-2009,10-Jul-2009,  Vatican City,Vatican City,Met with Pope Benedict XVI.,President Barack Obama
15,10-Jul-2009,11-Jul-2009, Ghana,Accra,"Met with President John Atta Mills. Delivered a speech to the Ghanaian Parliament. Toured a former departing point of the trans-Atlantic slave trade, the Cape Coast Castle.",President Barack Obama
16,9-Aug-2009,10-Aug-2009, Mexico,Guadalajara,Attended annual North American Leaders' Summit with Mexican President Felipe Calderón and Canadian Prime Minister Stephen Harper.,President Barack Obama
17,02-Oct-2009,02-Oct-2009, Denmark,Copenhagen,Met with Queen Margrethe II and Prime Minister Lars Løkke Rasmussen. Attended the 13th Olympic Congress meeting to lobby for Chicago's bid to host the 2016 Olympics.,President Barack Obama
18,13-Nov-2009,14-Nov-2009, Japan,Tokyo,Met with Emperor Akihito and Prime Minister Yukio Hatoyama.,President Barack Obama
